,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
1333,0,No,No,50,No,No,DSL,Yes,No,No,Yes,One year,Yes,Others,35.4,0
4242,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.75,0
1312,0,No,No,48,Yes,Yes,DSL,Yes,No,No,Yes,One year,Yes,Others,70.95,0
1428,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,50.45,1
6576,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.3,0
4345,0,Yes,Yes,69,Yes,No,No,No,No,No,No,One year,Yes,Others,20.55,0
2477,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Others,86.05,0
3798,0,No,No,42,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,100.3,0
4100,0,Yes,No,50,Yes,No,No,No,No,No,No,Two year,No,Electronic check,19.8,0
3837,0,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,105.65,1
736,0,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,No,Others,110.45,0
5456,0,No,No,13,No,No,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,31.05,1
5337,0,No,No,20,Yes,No,DSL,No,No,No,Yes,Month-to-month,No,Others,50.0,0
4478,0,No,No,3,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,54.2,0
6903,0,Yes,No,35,Yes,Yes,DSL,No,Yes,No,Yes,One year,Yes,Electronic check,69.0,0
5109,0,Yes,Yes,66,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,65.85,0
664,0,Yes,Yes,57,Yes,No,No,No,No,No,No,Two year,No,Others,19.5,0
1505,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,1
5591,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,88.45,1
1189,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,No,Others,85.7,0
1759,0,No,No,20,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.4,0
4650,0,Yes,Yes,37,Yes,Yes,No,No,No,No,No,Month-to-month,No,Others,26.45,0
4177,0,No,Yes,21,Yes,No,DSL,No,No,No,No,Month-to-month,No,Others,45.65,0
4886,0,No,No,7,Yes,No,No,No,No,No,No,One year,No,Others,19.9,0
4818,1,Yes,No,64,Yes,No,Fiber optic,Yes,No,Yes,No,One year,No,Others,80.3,0
1315,0,Yes,Yes,11,Yes,No,No,No,No,No,No,Two year,No,Others,20.9,0
5112,0,No,No,7,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.05,1
4842,1,No,No,9,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,54.55,1
5008,0,No,No,6,Yes,No,No,No,No,No,No,Two year,No,Others,19.65,0
